Experiment,Dataset,Architecture,Seed,Method,Tau,Jacobian,Aug_Sensitivity,Noise_Sensitivity,Accuracy,Train_Time_Min
Core,CIFAR10,ResNet18,0,BYOL,,64.739576,13.125267,13.74538,0.6474,
Core,CIFAR10,ResNet18,0,SimCLR,,89.379337,15.684288,19.091714,0.6905,
Core,CIFAR10,ResNet18,0,SimCLR+Jac,,66.768893,15.795745,15.70985,0.676,
Core,CIFAR10,ResNet18,1,BYOL,,63.238374,12.338819,12.546963,0.653,
Core,CIFAR10,ResNet18,1,SimCLR,,87.060588,15.589313,18.490107,0.6975,
Core,CIFAR10,ResNet18,1,SimCLR+Jac,,66.772942,15.542347,16.561101,0.6772,
Core,CIFAR10,ResNet18,2,BYOL,,64.825742,12.81351,13.276976,0.658,
Core,CIFAR10,ResNet18,2,SimCLR,,86.64399,15.60062,18.544576,0.7018,
Core,CIFAR10,ResNet18,2,SimCLR+Jac,,66.116948,15.781106,15.577176,0.67,
Core,CIFAR10,ResNet18,3,BYOL,,64.79875,13.324272,14.237532,0.6548,
Core,CIFAR10,ResNet18,3,SimCLR,,85.331009,15.220275,17.785767,0.6987,
Core,CIFAR10,ResNet18,3,SimCLR+Jac,,64.525089,14.436964,15.501014,0.6755,
Core,CIFAR10,ResNet18,4,BYOL,,58.561503,12.394563,12.531448,0.654,
Core,CIFAR10,ResNet18,4,SimCLR,,88.842462,16.148688,19.969277,0.6962,
Core,CIFAR10,ResNet18,4,SimCLR+Jac,,66.918729,16.089483,16.308668,0.673,
Core,CIFAR10,ResNet18,5,BYOL,,58.849894,11.934261,12.663976,0.6536,
Core,CIFAR10,ResNet18,5,SimCLR,,86.131786,15.632587,17.653579,0.6961,
Core,CIFAR10,ResNet18,5,SimCLR+Jac,,65.770773,16.416672,16.363256,0.6746,
Core,CIFAR10,ResNet18,6,BYOL,,61.887311,13.626039,14.518287,0.6571,
Core,CIFAR10,ResNet18,6,SimCLR,,89.363847,15.015509,18.349785,0.6832,
Core,CIFAR10,ResNet18,6,SimCLR+Jac,,65.949622,15.731129,16.418068,0.6712,
Core,CIFAR10,ResNet18,7,BYOL,,55.341792,12.427256,11.542867,0.6452,
Core,CIFAR10,ResNet18,7,SimCLR,,85.027936,15.777627,18.471111,0.6919,
Core,CIFAR10,ResNet18,7,SimCLR+Jac,,65.287511,15.21141,16.421584,0.6772,
Core,CIFAR10,ResNet18,8,BYOL,,62.915661,12.623823,13.481307,0.6479,
Core,CIFAR10,ResNet18,8,SimCLR,,87.384987,15.848061,18.661306,0.6976,
